 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6464 (Press CTRL+C to quit)
127.0.0.1 - - [03/Jul/2022 21:11:30] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:30] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:30] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:30] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:31] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:31] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:31] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:31] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:31] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:32] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:32] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:33] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:33] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:35] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:35] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:37] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:37] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:37] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:38] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:38] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:39] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:44] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:52] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:55] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:55] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:58] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:11:58] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:12:01] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:12:01] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:12:06] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:13:01] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:13:03] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:13:03] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:13:05] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:13:05] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:13:06] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:16:06] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [03/Jul/2022 21:16:23] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:23] "GET /apple-touch-icon.png HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:24] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:25] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:34] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:34] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:34] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:34] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:35] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:35] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:36] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:36] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:37] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 03:57:53] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:43] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:43] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:44] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:45] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:48] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:49] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:49] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:49] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:50] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:50] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:50] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:50] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:51] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:59] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:17:59] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:18:01] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:18:01] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:18:02] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:18:16] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:18:17] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:18:17] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:18:17] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:18:17] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:18:18] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:18:18] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [04/Jul/2022 04:18:29] "GET /favicon.ico HTTP/1.1" 404 -
